0,2.375111
1,2.200140
2,2.163640
3,1.668816
4,1.151858
5,0.648049
6,0.517681
7,0.358956
8,0.374979
9,0.329109
10,0.162322
11,0.334719
12,0.190099
13,0.272372
14,0.305396
15,0.081910
16,0.215059
17,0.136558
18,0.143587
19,0.189925
20,0.068312
21,0.183472
22,0.091733
23,0.065353
24,0.165512
25,0.039321
26,0.118320
27,0.086196
28,0.074858
29,0.058123
30,0.020630
31,0.041349
32,0.021527
33,0.055417
34,0.083227
35,0.008925
36,0.015862
37,0.022414
38,0.052306
39,0.006344
40,0.003737
41,0.068364
42,0.011552
43,0.029901
44,0.062714
45,0.031748
46,0.008835
47,0.010362
48,0.009305
49,0.009403
50,0.007546
51,0.005931
52,0.003148
53,0.001467
54,0.001685
55,0.000662
56,0.000806
57,0.000178
58,0.001456
59,0.001765
60,0.000884
61,0.000436
62,0.000239
63,0.000260
64,0.000264
65,0.000368
66,0.004861
67,0.000730
68,0.000687
69,0.000858
70,0.000177
71,0.000236
72,0.000167
73,0.000188
74,0.000899
75,0.000141
76,0.000168
77,0.000103
78,0.000148
79,0.000160
80,0.000093
81,0.000089
82,0.000075
83,0.000116
84,0.000114
85,0.000056
86,0.000064
87,0.000056
88,0.000089
89,0.000083
90,0.000038
91,0.000049
92,0.000044
93,0.000074
94,0.000068
95,0.000030
96,0.000041
97,0.000037
98,0.000063
99,0.000057
100,0.000024
101,0.000035
102,0.000031
103,0.000053
104,0.000047
105,0.000020
106,0.000030
107,0.000026
108,0.000047
109,0.000041
110,0.000017
111,0.000027
112,0.000023
113,0.000042
114,0.000036
115,0.000015
116,0.000024
117,0.000020
118,0.000037
119,0.000032
120,0.000013
121,0.000022
122,0.000018
123,0.000034
124,0.000029
